(0.0,0.0,0.0),(1.0,0.0,0.0),(0.0,1.0,0.0);;8.65634654134
(0.0,1.0,0.0),(1.0,0.0,0.0),(1.0,1.0,0.0);(0,0:1);4.71064048491
(1.0,0.0,0.0),(2.0,0.0,0.0),(1.0,1.0,0.0);(2,1:1);4.57057219984
(1.0,1.0,0.0),(2.0,0.0,0.0),(2.0,1.0,0.0);(0,2:1);4.91491027581
(2.0,0.0,0.0),(3.0,0.0,0.0),(2.0,1.0,0.0);(2,3:1);5.08456824752
(2.0,1.0,0.0),(3.0,0.0,0.0),(3.0,1.0,0.0);(0,4:1);5.29997646143
(3.0,0.0,0.0),(4.0,0.0,0.0),(3.0,1.0,0.0);(2,5:1);5.77356442665
(3.0,1.0,0.0),(4.0,0.0,0.0),(4.0,1.0,0.0);(0,6:1);5.6225317906
(4.0,0.0,0.0),(5.0,0.0,0.0),(4.0,1.0,0.0);(2,7:1);4.05464403442
(4.0,1.0,0.0),(5.0,0.0,0.0),(5.0,1.0,0.0);(0,8:1);3.27339960358
(5.0,0.0,0.0),(6.0,0.0,0.0),(5.0,1.0,0.0);(2,9:1);1.867146991
(5.0,1.0,0.0),(6.0,0.0,0.0),(6.0,1.0,0.0);(0,10:1);1.867146991
(6.0,0.0,0.0),(7.0,0.0,0.0),(6.0,1.0,0.0);(2,11:1);1.0
(6.0,1.0,0.0),(7.0,0.0,0.0),(7.0,1.0,0.0);(0,12:1);1.0
(7.0,0.0,0.0),(8.0,0.0,0.0),(7.0,1.0,0.0);(2,13:1);1.0
(7.0,1.0,0.0),(8.0,0.0,0.0),(8.0,1.0,0.0);(0,14:1);1.0
(8.0,0.0,0.0),(9.0,0.0,0.0),(8.0,1.0,0.0);(2,15:1);1.0
(8.0,1.0,0.0),(9.0,0.0,0.0),(9.0,1.0,0.0);(0,16:1);1.0
(9.0,0.0,0.0),(10.0,0.0,0.0),(9.0,1.0,0.0);(2,17:1);1.9395082431
(9.0,1.0,0.0),(10.0,0.0,0.0),(10.0,1.0,0.0);(0,18:1);1.9395082431
(10.0,0.0,0.0),(11.0,0.0,0.0),(10.0,1.0,0.0);(2,19:1);2.87014786911
(10.0,1.0,0.0),(11.0,0.0,0.0),(11.0,1.0,0.0);(0,20:1);2.91773314709
(11.0,0.0,0.0),(12.0,0.0,0.0),(11.0,1.0,0.0);(2,21:1);4.62024006896
(11.0,1.0,0.0),(12.0,0.0,0.0),(12.0,1.0,0.0);(0,22:1);5.25242923591
(12.0,0.0,0.0),(13.0,0.0,0.0),(12.0,1.0,0.0);(2,23:1);5.46917623613
(12.0,1.0,0.0),(13.0,0.0,0.0),(13.0,1.0,0.0);(0,24:1);9.10000264758
(13.0,0.0,0.0),(14.0,0.0,0.0),(13.0,1.0,0.0);(2,25:1);8.23348960622
(13.0,1.0,0.0),(14.0,0.0,0.0),(14.0,1.0,0.0);(0,26:1);7.8272756747
(14.0,0.0,0.0),(15.0,0.0,0.0),(14.0,1.0,0.0);(2,27:1);7.8272756747
(14.0,1.0,0.0),(15.0,0.0,0.0),(15.0,1.0,0.0);(0,28:1);8.14946694074
(15.0,0.0,0.0),(16.0,0.0,0.0),(15.0,1.0,0.0);(2,29:1);9.13655140827
(15.0,1.0,0.0),(16.0,0.0,0.0),(16.0,1.0,0.0);(0,30:1);5.26761704566
(0.0,1.0,0.0),(1.0,1.0,0.0),(1.0,2.0,0.0);(0,1:2);5.25854830179
(0.0,2.0,0.0),(0.0,1.0,0.0),(1.0,2.0,0.0);(1,32:2);4.60561845295
(1.0,1.0,0.0),(2.0,1.0,0.0),(2.0,2.0,0.0);(0,3:2);5.10432420968
(1.0,2.0,0.0),(1.0,1.0,0.0),(2.0,2.0,0.0);(0,32:1),(1,34:2);5.30789395059
(2.0,1.0,0.0),(3.0,1.0,0.0),(3.0,2.0,0.0);(0,5:2);5.19543137009
(2.0,2.0,0.0),(2.0,1.0,0.0),(3.0,2.0,0.0);(0,34:1),(1,36:2);5.16943709005
(3.0,1.0,0.0),(4.0,1.0,0.0),(4.0,2.0,0.0);(0,7:2);4.88871096927
(3.0,2.0,0.0),(3.0,1.0,0.0),(4.0,2.0,0.0);(0,36:1),(1,38:2);4.93519851398
(4.0,1.0,0.0),(5.0,1.0,0.0),(5.0,2.0,0.0);(0,9:2);4.34953128566
(4.0,2.0,0.0),(4.0,1.0,0.0),(5.0,2.0,0.0);(0,38:1),(1,40:2);4.39695489517
(5.0,1.0,0.0),(6.0,1.0,0.0),(6.0,2.0,0.0);(0,11:2);2.75511034603
(5.0,2.0,0.0),(5.0,1.0,0.0),(6.0,2.0,0.0);(0,40:1),(1,42:2);3.83124202811
(6.0,1.0,0.0),(7.0,1.0,0.0),(7.0,2.0,0.0);(0,13:2);2.60879707753
(6.0,2.0,0.0),(6.0,1.0,0.0),(7.0,2.0,0.0);(0,42:1),(1,44:2);3.49676043256
(7.0,1.0,0.0),(8.0,1.0,0.0),(8.0,2.0,0.0);(0,15:2);1.0
(7.0,2.0,0.0),(7.0,1.0,0.0),(8.0,2.0,0.0);(0,44:1),(1,46:2);2.60879707753
(8.0,1.0,0.0),(9.0,1.0,0.0),(9.0,2.0,0.0);(0,17:2);1.0
(8.0,2.0,0.0),(8.0,1.0,0.0),(9.0,2.0,0.0);(0,46:1),(1,48:2);1.0
(9.0,1.0,0.0),(10.0,1.0,0.0),(10.0,2.0,0.0);(0,19:2);1.0
(9.0,2.0,0.0),(9.0,1.0,0.0),(10.0,2.0,0.0);(0,48:1),(1,50:2);1.0
(10.0,1.0,0.0),(11.0,1.0,0.0),(11.0,2.0,0.0);(0,21:2);1.98709352108
(10.0,2.0,0.0),(10.0,1.0,0.0),(11.0,2.0,0.0);(0,50:1),(1,52:2);1.0
(11.0,1.0,0.0),(12.0,1.0,0.0),(12.0,2.0,0.0);(0,23:2);5.15207927829
(11.0,2.0,0.0),(11.0,1.0,0.0),(12.0,2.0,0.0);(0,52:1),(1,54:2);3.58925048534
(12.0,1.0,0.0),(13.0,1.0,0.0),(13.0,2.0,0.0);(0,25:2);9.05613300849
(12.0,2.0,0.0),(12.0,1.0,0.0),(13.0,2.0,0.0);(0,54:1),(1,56:2);5.32495663942
(13.0,1.0,0.0),(14.0,1.0,0.0),(14.0,2.0,0.0);(0,27:2);8.85185075523
(13.0,2.0,0.0),(13.0,1.0,0.0),(14.0,2.0,0.0);(0,56:1),(1,58:2);9.21419504765
(14.0,1.0,0.0),(15.0,1.0,0.0),(15.0,2.0,0.0);(0,29:2);8.14946694074
(14.0,2.0,0.0),(14.0,1.0,0.0),(15.0,2.0,0.0);(0,58:1),(1,60:2);8.85185075523
(15.0,1.0,0.0),(16.0,1.0,0.0),(16.0,2.0,0.0);(0,31:2);4.53600744673
